Date,Time,Location,Type,Status
2026-07-04,17:35:35,Room 201,Smoke Triggered,Pending
2026-07-04,17:35:42,Room 201,Smoke Triggered,Pending
2026-07-04,17:35:50,Room 201,Smoke Triggered,Pending
2026-07-04,17:36:08,Room 201,Smoke Triggered,Pending
2026-07-04,17:36:15,Room 201,Smoke Triggered,Pending
2026-07-04,17:36:20,Room 201,Smoke Triggered,Pending
2026-07-04,17:36:25,Room 201,Smoke Triggered,Pending
2026-07-04,17:36:31,Room 201,Smoke Triggered,Pending
2026-07-04,17:48:32,Room 201,Smoke Triggered,Pending
2026-07-04,17:48:40,Room 201,Smoke Triggered,Pending
2026-07-04,17:48:46,Room 201,Smoke Triggered,Pending
2026-07-04,17:48:52,Room 201,Smoke Triggered,Pending
2026-07-04,17:48:59,Room 201,Smoke Triggered,Pending
2026-07-04,17:49:07,Room 201,Smoke Triggered,Pending
2026-07-04,17:49:16,Room 201,Smoke Triggered,Pending
2026-07-04,17:49:22,Room 201,Smoke Triggered,Pending
2026-07-04,17:49:28,Room 201,Smoke Triggered,Pending
2026-07-05,10:01:14,Room 201,Smoke Triggered,Pending
2026-07-05,10:01:20,Room 201,Smoke Triggered,Pending
2026-07-05,10:01:26,Room 201,Smoke Triggered,Pending
2026-07-05,10:01:34,Room 201,Smoke Triggered,Pending
2026-07-05,10:01:41,Room 201,Smoke Triggered,Pending
2026-07-05,10:01:52,Room 201,Smoke Triggered,Pending
2026-07-05,10:01:58,Room 201,Smoke Triggered,Pending
2026-07-05,10:02:04,Room 201,Smoke Triggered,Pending
2026-07-05,10:02:12,Room 201,Smoke Triggered,Pending
2026-07-05,10:02:20,Room 201,Smoke Triggered,Pending
2026-07-05,10:02:26,Room 201,Smoke Triggered,Pending
2026-07-05,10:02:35,Room 201,Smoke Triggered,Pending
2026-07-05,10:02:40,Room 201,Smoke Triggered,Pending
2026-07-05,10:02:47,Room 201,Smoke Triggered,Pending
2026-07-05,10:02:53,Room 201,Smoke Triggered,Pending
2026-07-05,10:03:35,Room 201,Smoke Triggered,Pending
